service_order_no,order_dt,region,job_code,technician_id,parts_cost,labor_cost,truck_cost,base_cost,list_price,discount_pct,sell_price,warranty_flag,margin_amount,margin_pct,week,year
90046,2024-10-06,DE-Hamburg,83020,T0178,42.46,103.34,8.15,153.95,194.83,0.095,176.38,0,22.43,0.1272,40,2024
90047,2024-01-11,DE-Berlin,85005,T0108,160.93,89.48,27.96,278.37,349.77,0.123,306.68,1,28.31,0.0923,2,2024
90048,2024-08-21,AT-Vienna,81433,T0133,426.89,68.92,34.99,607.66,716.49,0.158,602.96,0,-4.7,-0.0078,34,2024
90049,2024-10-18,DE-Hamburg,84015,T0307,168.29,75.17,30.31,273.77,328.05,0.161,275.22,0,1.45,0.0053,42,2024
90050,2024-11-13,DE-Berlin,85005,T0014,193.16,18.0,26.18,237.34,279.46,0.271,203.81,0,-33.53,-0.1645,46,2024
90051,2024-05-31,NL-Amsterdam,82010,T0325,600.54,98.46,20.54,719.54,907.09,0.064,849.4,0,129.86,0.1529,22,2024
90052,2024-04-02,EU-EMEA-Remote,82010,T0120,365.3,61.93,20.59,447.81,606.19,0.053,574.05,0,126.24,0.2199,14,2024
90053,2024-09-04,NL-Amsterdam,81120,T0324,421.37,66.69,26.39,555.61,673.48,0.02,659.98,0,104.37,0.1581,36,2024
90054,2024-08-12,AT-Vienna,84015,T0134,212.09,70.62,11.88,337.25,439.13,0.105,393.14,0,55.89,0.1422,33,2024
90055,2024-05-29,NL-Amsterdam,85005,T0366,296.13,21.76,12.66,330.55,341.94,0.163,286.14,0,-44.41,-0.1552,22,2024
90056,2024-12-22,NL-Amsterdam,85005,T0356,516.56,62.45,16.54,595.55,737.0,0.132,639.88,1,44.33,0.0693,51,2024
90057,2024-03-08,DE-Munich,85005,T0191,118.46,84.34,27.69,230.48,236.37,0.043,226.13,0,-4.35,-0.0192,10,2024
90058,2024-08-07,AT-Vienna,85005,T0188,97.94,84.35,29.47,242.42,255.67,0.266,187.69,0,-54.73,-0.2916,32,2024
90059,2024-01-20,DE-Berlin,84015,T0386,323.91,67.49,9.13,400.54,526.87,0.094,477.37,0,76.83,0.1609,3,2024
90060,2024-01-05,DE-Munich,83020,T0291,53.22,81.3,15.89,150.41,204.49,0.278,147.61,1,-2.8,-0.019,1,2024
90061,2024-10-02,NL-Amsterdam,82010,T0327,211.02,40.38,5.0,256.4,316.68,0.254,236.12,1,-20.28,-0.0859,40,2024
90062,2024-02-03,DE-Berlin,81433,T0372,514.86,47.51,25.89,588.26,685.63,0.118,604.81,1,16.55,0.0274,5,2024
90063,2024-05-03,DE-Hamburg,84015,T0142,157.18,62.11,14.38,233.67,302.16,0.021,295.84,0,62.17,0.2101,18,2024
90064,2024-10-13,DE-Munich,84015,T0045,184.73,74.55,12.36,271.64,316.49,0.03,306.92,0,35.28,0.1149,41,2024
90065,2024-07-04,AT-Vienna,81120,T0208,326.17,32.65,11.19,423.59,490.97,0.098,442.76,0,19.17,0.0433,27,2024
90066,2024-08-17,DE-Berlin,84015,T0127,46.04,58.6,9.65,123.43,140.67,0.181,115.27,0,-8.16,-0.0708,33,2024
90067,2024-11-25,NL-Amsterdam,85005,T0044,258.39,18.0,27.01,303.4,366.42,0.109,326.47,1,23.07,0.0707,48,2024
90068,2024-05-10,DE-Hamburg,83020,T0087,14.34,92.14,28.17,134.65,171.82,0.085,157.27,0,22.62,0.1438,19,2024
90069,2024-03-24,NL-Amsterdam,84015,T0078,720.6,126.03,15.9,862.53,1126.39,0.094,1020.7,0,158.17,0.155,12,2024
90070,2024-01-22,DE-Hamburg,84015,T0224,78.62,43.74,28.77,151.13,193.74,0.13,168.62,0,17.49,0.1037,4,2024
90071,2024-04-29,NL-Amsterdam,83020,T0317,73.49,65.22,22.85,161.56,182.14,0.076,168.28,1,6.72,0.0399,18,2024
90072,2024-03-08,DE-Hamburg,84015,T0224,107.18,68.52,22.59,198.29,250.9,0.062,235.45,0,37.16,0.1578,10,2024
90073,2024-07-22,DE-Berlin,85005,T0396,129.64,71.2,24.32,243.18,269.57,0.09,245.25,0,2.07,0.0084,30,2024
90074,2024-02-17,NL-Amsterdam,83020,T0164,79.8,45.97,18.68,144.45,202.2,0.141,173.76,0,29.31,0.1687,7,2024
90075,2024-09-29,NL-Amsterdam,81120,T0310,898.89,73.69,11.53,1062.83,1166.05,0.05,1107.24,0,44.41,0.0401,39,2024
90076,2024-01-13,AT-Vienna,85005,T0036,31.34,42.46,18.96,92.76,110.12,0.028,106.99,0,14.23,0.133,2,2024
90077,2024-12-15,DE-Munich,83020,T0011,162.11,57.52,21.48,241.11,281.94,0.026,274.74,0,33.63,0.1224,50,2024
90078,2024-04-17,DE-Hamburg,84015,T0271,316.98,87.15,17.49,421.62,542.07,0.146,462.98,0,41.36,0.0893,16,2024
90079,2024-08-21,DE-Munich,82010,T0160,627.05,44.52,22.55,749.65,971.97,0.135,841.05,0,91.4,0.1087,34,2024
90080,2024-11-28,DE-Munich,82010,T0163,1268.71,84.92,34.16,1387.79,1665.7,0.217,1304.57,0,-83.22,-0.0638,48,2024
90081,2024-11-19,DE-Munich,85005,T0082,322.88,70.84,22.56,416.27,537.11,0.169,446.41,1,30.14,0.0675,47,2024
90082,2024-04-20,EU-EMEA-Remote,84015,T0131,155.86,58.36,21.05,235.28,240.91,0.211,190.19,0,-45.09,-0.2371,16,2024
90083,2024-05-22,AT-Vienna,83020,T0067,20.18,70.52,23.05,113.75,152.11,0.073,140.97,0,27.22,0.1931,21,2024
90084,2024-05-04,AT-Vienna,81433,T0344,160.9,108.17,16.31,285.39,374.59,0.049,356.13,0,70.74,0.1986,18,2024
90085,2024-10-03,DE-Berlin,81433,T0211,233.52,80.84,19.09,333.45,388.59,0.2,310.98,0,-22.47,-0.0723,40,2024
90086,2024-11-05,DE-Berlin,81433,T0181,184.7,74.96,15.11,274.77,369.24,0.309,255.24,0,-19.53,-0.0765,45,2024
90087,2024-11-11,NL-Amsterdam,82010,T0254,216.67,72.59,19.39,308.65,433.62,0.217,339.42,1,30.77,0.0907,46,2024
90088,2024-02-05,DE-Munich,81433,T0045,133.31,77.25,18.68,229.24,264.53,0.034,255.55,0,26.31,0.103,6,2024
90089,2024-10-31,EU-EMEA-Remote,84015,T0016,127.01,47.24,24.98,199.22,260.29,0.09,236.99,0,37.77,0.1594,44,2024
90090,2024-09-17,DE-Berlin,84015,T0058,314.73,45.58,16.77,407.25,484.02,0.153,410.11,1,2.86,0.007,38,2024
90091,2024-10-26,DE-Hamburg,84015,T0022,738.09,76.71,21.2,835.99,1125.8,0.106,1006.27,0,170.28,0.1692,43,2024
90092,2024-09-07,NL-Amsterdam,81433,T0171,236.52,130.07,11.25,408.07,510.79,0.214,401.28,0,-6.79,-0.0169,36,2024
90093,2024-02-24,DE-Munich,82010,T0349,770.59,73.07,17.9,861.56,1039.39,0.045,992.47,0,130.91,0.1319,8,2024
90094,2024-02-13,AT-Vienna,84015,T0127,292.08,71.3,22.35,385.74,460.95,0.069,429.12,1,43.38,0.1011,7,2024
90095,2024-08-03,AT-Vienna,82010,T0198,298.14,85.99,18.26,460.65,553.89,0.092,503.09,0,42.44,0.0844,31,2024
90096,2024-02-09,DE-Munich,81120,T0256,614.36,80.01,21.52,715.89,806.29,0.084,738.84,0,22.95,0.0311,6,2024
90097,2024-05-11,EU-EMEA-Remote,84015,T0021,85.63,78.71,23.11,187.44,229.2,0.186,186.5,0,-0.94,-0.005,19,2024
90098,2024-12-01,DE-Munich,84015,T0339,598.87,83.05,19.48,701.39,783.5,0.207,621.42,0,-79.97,-0.1287,48,2024
90099,2024-10-12,EU-EMEA-Remote,82010,T0025,354.71,91.55,31.4,477.66,571.32,0.218,447.04,0,-30.62,-0.0685,41,2024
90100,2024-05-16,NL-Amsterdam,84015,T0119,206.03,80.3,18.28,304.61,390.48,0.088,355.93,0,51.32,0.1442,20,2024
90101,2024-02-24,DE-Hamburg,84015,T0314,402.03,40.79,21.39,464.22,502.95,0.029,488.38,0,24.16,0.0495,8,2024
90102,2024-06-15,EU-EMEA-Remote,83020,T0351,170.98,85.16,27.11,305.9,418.72,0.075,387.35,0,81.45,0.2103,24,2024
90103,2024-07-17,DE-Munich,84015,T0389,358.14,76.65,11.66,482.16,555.12,0.123,487.02,0,4.86,0.01,29,2024
90104,2024-05-29,NL-Amsterdam,83020,T0330,103.39,89.45,20.99,213.83,264.04,0.095,238.96,0,25.13,0.1052,22,2024
90105,2024-02-14,NL-Amsterdam,81433,T0241,113.42,77.54,8.51,199.47,244.72,0.152,207.47,0,8.0,0.0386,7,2024
90106,2024-05-15,DE-Berlin,83020,T0011,336.42,113.16,6.87,456.44,589.37,0.097,531.96,0,75.52,0.142,20,2024
90107,2024-07-28,AT-Vienna,81433,T0104,367.34,70.89,19.79,524.35,607.15,0.08,558.76,0,34.41,0.0616,30,2024
90108,2024-07-16,DE-Berlin,81120,T0019,260.9,71.32,15.54,375.58,511.26,0.173,422.97,0,47.39,0.112,29,2024
90109,2024-04-10,NL-Amsterdam,82010,T0254,626.53,86.85,18.86,732.23,825.23,0.183,674.02,0,-58.21,-0.0864,15,2024
90110,2024-06-29,EU-EMEA-Remote,82010,T0331,574.16,70.15,27.38,725.43,893.39,0.125,782.12,1,56.69,0.0725,26,2024
90111,2024-06-18,NL-Amsterdam,81433,T0260,107.63,43.59,27.01,192.49,242.17,0.201,193.38,1,0.89,0.0046,25,2024
90112,2024-01-30,NL-Amsterdam,81433,T0066,456.4,73.12,23.82,553.34,663.64,0.078,611.7,1,58.36,0.0954,5,2024
90113,2024-10-09,DE-Berlin,81433,T0056,153.33,71.38,24.8,249.52,258.47,0.075,239.01,0,-10.51,-0.044,41,2024
90114,2024-11-16,DE-Hamburg,81120,T0188,585.82,71.63,18.51,675.96,775.02,0.116,685.09,0,9.13,0.0133,46,2024
90115,2024-09-09,NL-Amsterdam,82010,T0111,220.69,65.21,12.64,322.42,416.82,0.16,350.26,0,27.84,0.0795,37,2024
90116,2024-07-09,DE-Hamburg,82010,T0101,1087.68,72.26,17.92,1272.09,1419.15,0.034,1370.66,0,98.57,0.0719,28,2024
90117,2024-08-02,DE-Munich,83020,T0218,135.68,58.22,17.46,228.27,288.83,0.143,247.53,1,19.26,0.0778,31,2024
90118,2024-08-14,DE-Berlin,84015,T0253,576.82,80.16,22.51,733.85,763.94,0.16,641.94,0,-91.91,-0.1432,33,2024
90119,2024-01-13,DE-Berlin,84015,T0286,282.44,65.53,24.31,372.28,386.19,0.102,346.93,0,-25.35,-0.0731,2,2024
90120,2024-05-14,NL-Amsterdam,82010,T0152,96.58,81.47,13.64,191.68,243.01,0.164,203.17,1,11.49,0.0566,20,2024
90121,2024-04-16,EU-EMEA-Remote,85005,T0176,215.74,56.87,21.5,294.1,371.09,0.236,283.55,0,-10.55,-0.0372,16,2024
90122,2024-04-20,DE-Hamburg,81433,T0249,126.58,116.11,20.29,262.98,344.41,0.093,312.54,0,49.56,0.1586,16,2024
90123,2024-12-15,DE-Munich,82010,T0187,347.64,119.49,20.32,487.45,579.27,0.04,555.92,0,68.47,0.1232,50,2024
90124,2024-08-22,EU-EMEA-Remote,85005,T0346,164.86,67.88,23.92,277.2,354.91,0.053,336.0,0,58.8,0.175,34,2024
90125,2024-01-18,DE-Munich,81433,T0260,98.32,75.18,18.19,191.69,219.99,0.152,186.64,1,-5.05,-0.0271,3,2024
90126,2024-01-06,DE-Hamburg,85005,T0212,29.91,121.85,31.92,183.69,227.75,0.113,202.05,0,18.36,0.0909,1,2024
90127,2024-12-01,EU-EMEA-Remote,84015,T0022,214.42,47.51,12.95,274.89,347.85,0.223,270.14,1,-4.75,-0.0176,48,2024
90128,2024-02-19,EU-EMEA-Remote,82010,T0072,217.22,63.1,18.14,298.46,390.22,0.103,349.94,0,51.48,0.1471,8,2024
90129,2024-11-28,EU-EMEA-Remote,85005,T0081,155.83,95.25,16.42,267.5,321.67,0.019,315.44,0,47.94,0.152,48,2024
90130,2024-04-15,DE-Berlin,83020,T0233,133.04,109.77,19.23,262.04,274.25,0.175,226.12,1,-35.92,-0.1589,16,2024
90131,2024-07-01,DE-Berlin,81433,T0106,86.5,35.01,16.33,148.87,187.62,0.062,176.02,0,27.15,0.1542,27,2024
90132,2024-06-24,DE-Munich,81120,T0082,482.8,70.98,17.49,616.97,832.0,0.014,820.16,0,203.19,0.2477,26,2024
90133,2024-03-28,DE-Berlin,81120,T0127,78.63,97.26,21.45,197.35,239.47,0.121,210.5,0,13.15,0.0625,13,2024
90134,2024-05-29,DE-Berlin,81120,T0098,444.09,53.24,16.17,513.49,591.94,0.268,433.05,1,-80.44,-0.1858,22,2024
90135,2024-09-17,NL-Amsterdam,84015,T0346,361.45,101.16,20.41,521.67,592.01,0.113,525.11,1,3.44,0.0066,38,2024
90136,2024-03-17,DE-Berlin,81433,T0280,209.93,56.06,26.04,292.04,326.56,0.206,259.26,1,-32.78,-0.1264,11,2024
90137,2024-08-21,DE-Berlin,85005,T0081,66.08,89.03,28.37,198.16,235.57,0.22,183.71,0,-14.45,-0.0787,34,2024
90138,2024-11-27,NL-Amsterdam,84015,T0262,187.16,126.29,23.28,336.73,378.8,0.016,372.81,0,36.08,0.0968,48,2024
90139,2024-09-19,AT-Vienna,84015,T0362,224.85,66.28,12.15,347.19,355.54,0.111,315.98,0,-31.21,-0.0988,38,2024
90140,2024-08-13,EU-EMEA-Remote,82010,T0220,426.43,70.86,14.54,552.78,621.53,0.288,442.51,0,-110.27,-0.2492,33,2024
90141,2024-03-26,EU-EMEA-Remote,82010,T0397,739.09,43.37,29.06,811.53,939.6,0.063,880.39,1,68.86,0.0782,13,2024
90142,2024-06-07,AT-Vienna,85005,T0359,70.34,55.29,22.01,159.46,204.09,0.102,183.21,1,23.75,0.1296,23,2024
90143,2024-12-29,AT-Vienna,83020,T0232,343.99,74.96,22.99,441.94,535.69,0.172,443.64,0,1.7,0.0038,52,2024
90144,2024-11-08,DE-Munich,85005,T0064,257.58,26.22,17.05,300.85,403.38,0.146,344.37,0,43.52,0.1264,45,2024
90145,2024-11-03,DE-Berlin,84015,T0331,499.24,75.11,6.32,580.67,796.23,0.076,735.88,0,155.21,0.2109,44,2024
90146,2024-09-04,NL-Amsterdam,85005,T0053,220.03,91.57,19.71,357.82,412.58,0.091,375.15,0,17.33,0.0462,36,2024
90147,2024-07-02,DE-Hamburg,81433,T0103,346.98,54.27,24.78,460.1,515.37,0.051,489.03,0,28.93,0.0592,27,2024
90148,2024-05-01,AT-Vienna,81120,T0195,341.05,79.32,18.83,439.2,602.81,0.113,534.53,0,95.33,0.1783,18,2024
90149,2024-03-17,DE-Berlin,81433,T0276,279.53,82.31,24.39,386.23,379.88,0.094,344.13,0,-42.1,-0.1223,11,2024
90150,2024-07-18,DE-Munich,81433,T0188,185.08,49.99,19.75,275.2,382.92,0.088,349.2,0,74.0,0.2119,29,2024
90151,2024-03-26,NL-Amsterdam,82010,T0309,182.6,57.83,21.08,261.51,339.01,0.106,303.22,0,41.71,0.1376,13,2024
90152,2024-07-05,AT-Vienna,83020,T0273,33.93,87.86,15.65,157.34,213.07,0.071,197.91,1,40.57,0.205,27,2024
90153,2024-10-24,AT-Vienna,81433,T0210,119.19,54.61,23.04,196.84,259.65,0.032,251.4,0,54.56,0.217,43,2024
90154,2024-08-18,NL-Amsterdam,82010,T0225,158.43,80.25,20.25,279.65,352.85,0.156,297.82,0,18.17,0.061,33,2024
90155,2024-10-26,EU-EMEA-Remote,81433,T0012,56.56,55.91,29.98,142.45,187.31,0.135,162.05,0,19.6,0.121,43,2024
90156,2024-11-11,DE-Berlin,83020,T0391,72.67,34.45,17.85,124.96,155.35,0.178,127.72,0,2.76,0.0216,46,2024
90157,2024-12-04,DE-Berlin,83020,T0379,20.18,67.36,22.36,109.9,135.0,0.061,126.83,0,16.93,0.1335,49,2024
90158,2024-03-04,DE-Hamburg,83020,T0106,354.17,90.31,30.31,474.78,591.97,0.187,481.28,1,6.5,0.0135,10,2024
90159,2024-02-05,DE-Berlin,82010,T0377,232.66,44.5,13.14,290.3,324.44,0.05,308.12,0,17.82,0.0578,6,2024
90160,2024-03-18,NL-Amsterdam,84015,T0309,230.38,78.53,23.92,332.83,426.62,0.135,368.85,1,36.02,0.0977,12,2024
90161,2024-10-15,DE-Hamburg,82010,T0014,146.58,33.1,10.29,189.96,258.93,0.095,234.2,0,44.24,0.1889,42,2024
90162,2024-04-27,AT-Vienna,84015,T0073,195.95,101.62,26.8,324.37,378.59,0.059,356.23,0,31.86,0.0894,17,2024
90163,2024-08-03,DE-Munich,81120,T0170,475.8,37.07,11.56,566.38,709.68,0.08,652.7,0,86.32,0.1323,31,2024
90164,2024-06-10,DE-Berlin,83020,T0331,421.36,77.49,22.58,563.14,699.9,0.097,631.77,0,68.63,0.1086,24,2024
90165,2024-02-15,AT-Vienna,84015,T0007,238.77,18.0,29.91,286.68,388.57,0.199,311.19,0,24.51,0.0788,7,2024
90166,2024-04-26,NL-Amsterdam,84015,T0263,257.71,97.84,33.94,389.49,503.73,0.221,392.54,1,3.05,0.0078,17,2024
90167,2024-02-15,EU-EMEA-Remote,81120,T0080,262.59,46.19,16.24,325.01,413.8,0.07,384.9,1,59.89,0.1556,7,2024
90168,2024-12-27,DE-Berlin,85005,T0044,69.7,71.65,24.71,166.05,167.97,0.116,148.56,0,-17.49,-0.1177,52,2024
90169,2024-02-12,DE-Berlin,81120,T0030,540.15,57.66,14.42,612.23,764.95,0.12,673.01,1,60.78,0.0903,7,2024
90170,2024-12-18,EU-EMEA-Remote,82010,T0208,453.13,65.11,35.48,553.71,685.06,0.147,584.51,1,30.8,0.0527,51,2024
90171,2024-10-17,EU-EMEA-Remote,84015,T0158,193.75,90.46,8.94,293.15,363.96,0.084,333.34,0,40.19,0.1206,42,2024
90172,2024-04-05,EU-EMEA-Remote,81120,T0108,404.97,65.34,14.91,485.21,531.45,0.141,456.41,0,-28.8,-0.0631,14,2024
90173,2024-07-02,NL-Amsterdam,81120,T0176,187.53,89.6,29.27,330.91,363.7,0.082,333.82,1,2.91,0.0087,27,2024
90174,2024-08-18,DE-Hamburg,84015,T0231,403.91,67.16,19.47,529.78,566.38,0.239,431.16,1,-98.62,-0.2287,33,2024
90175,2024-09-22,DE-Munich,83020,T0212,62.11,77.81,36.46,190.49,218.26,0.062,204.7,0,14.21,0.0694,38,2024
90176,2024-09-26,DE-Munich,85005,T0265,169.43,115.96,23.53,333.64,397.18,0.058,374.32,0,40.68,0.1087,39,2024
90177,2024-12-07,NL-Amsterdam,82010,T0191,116.28,52.93,18.57,187.78,218.54,0.136,188.85,1,1.07,0.0057,49,2024
90178,2024-01-02,AT-Vienna,83020,T0002,23.95,36.0,16.8,76.76,91.48,0.042,87.67,0,10.91,0.1244,1,2024
90179,2024-10-14,DE-Munich,81120,T0357,548.23,82.14,19.95,650.33,782.11,0.165,652.88,0,2.55,0.0039,42,2024
90180,2024-07-27,DE-Munich,82010,T0321,553.69,117.9,11.5,737.73,904.48,0.031,876.12,0,138.39,0.158,30,2024
90181,2024-02-18,DE-Hamburg,81120,T0029,161.53,68.51,22.09,252.12,327.17,0.136,282.75,1,30.63,0.1083,7,2024
90182,2024-06-02,EU-EMEA-Remote,81433,T0316,277.57,49.78,20.42,375.59,417.86,0.02,409.44,0,33.85,0.0827,22,2024
90183,2024-06-10,AT-Vienna,82010,T0127,724.28,56.95,23.66,869.28,1056.01,0.067,985.74,0,116.46,0.1181,24,2024
90184,2024-09-12,DE-Berlin,85005,T0042,42.69,79.83,13.29,146.67,159.97,0.121,140.68,0,-5.99,-0.0426,37,2024
90185,2024-12-04,EU-EMEA-Remote,81433,T0377,330.82,56.03,21.43,408.28,511.93,0.091,465.33,0,57.05,0.1226,49,2024
90186,2024-03-05,DE-Hamburg,81120,T0090,169.94,39.0,6.19,215.13,263.01,0.13,228.85,1,13.72,0.06,10,2024
90187,2024-11-10,NL-Amsterdam,84015,T0041,184.43,72.8,15.82,273.05,283.42,0.117,250.27,0,-22.78,-0.091,45,2024
90188,2024-09-23,NL-Amsterdam,81120,T0096,604.93,97.13,17.77,777.41,1087.16,0.079,1001.55,0,224.14,0.2238,39,2024
90189,2024-01-28,DE-Hamburg,81433,T0093,163.84,89.92,19.74,273.51,373.1,0.071,346.56,0,73.05,0.2108,4,2024
90190,2024-06-05,EU-EMEA-Remote,81120,T0296,639.73,103.02,30.17,834.76,1048.16,0.199,839.12,1,4.36,0.0052,23,2024
90191,2024-01-09,DE-Berlin,81433,T0329,204.91,38.75,9.96,253.62,300.49,0.1,270.56,0,16.94,0.0626,2,2024
90192,2024-09-04,AT-Vienna,83020,T0175,287.19,60.43,16.05,416.32,523.93,0.072,486.02,1,69.7,0.1434,36,2024
90193,2024-04-10,DE-Berlin,84015,T0383,528.89,50.59,15.47,594.95,767.98,0.14,660.3,1,65.35,0.099,15,2024
90194,2024-09-11,DE-Hamburg,82010,T0155,274.65,83.83,13.72,401.97,549.97,0.004,547.67,0,145.7,0.266,37,2024
