service_order_no,order_date,region,technician_id,job_code,job_description,parts_cost,labor_cost,truck_cost,base_cost,list_price,discount_pct,sell_price,warranty_flag,margin_amount,margin_pct
50018,2024-11-04,DE-Berlin,T0358,85005,Refrigerant Charge,103.19,98.39,17.98,219.56,291.77,0.014,287.69,0,68.13,0.2368
50019,2024-09-14,AT-Vienna,T0458,85005,Refrigerant Charge,79.32,113.24,9.1,201.66,232.68,0.068,216.86,1,15.2,0.0701
50020,2024-12-09,DE-Berlin,T0282,82010,Evaporator Coil Replace,416.66,29.67,34.4,480.73,568.44,0.261,420.08,0,-60.65,-0.1444
50021,2024-10-20,EU-EMEA-Remote,T0210,85005,Refrigerant Charge,463.72,68.1,21.34,553.16,556.93,0.088,507.92,1,-45.24,-0.0891
50022,2024-07-10,AT-Vienna,T0058,81120,Compressor Repair/Replace,606.06,96.76,29.35,732.17,816.67,0.158,687.64,0,-44.53,-0.0648
50023,2024-10-03,EU-EMEA-Remote,T0456,84015,Leak Diagnosis & Seal,529.04,67.86,28.3,625.2,767.1,0.117,677.35,0,52.15,0.077
50024,2024-06-09,NL-Amsterdam,T0302,85005,Refrigerant Charge,75.25,55.74,22.05,153.04,192.16,0.084,176.02,0,22.98,0.1306
50025,2024-11-09,EU-EMEA-Remote,T0240,83020,Thermostat Replace,267.47,77.84,50.29,395.6,393.67,0.171,326.35,1,-69.25,-0.2122
50026,2024-01-22,DE-Berlin,T0133,81433,Drier Replace,491.5,102.62,45.42,639.54,824.7,0.024,804.91,0,165.37,0.2055
50027,2024-09-09,DE-Hamburg,T0248,82010,Evaporator Coil Replace,188.05,21.69,33.14,242.88,322.23,0.099,290.33,0,47.45,0.1634
50028,2024-08-23,EU-EMEA-Remote,T0100,81433,Drier Replace,238.8,63.38,14.76,316.94,428.56,0.087,391.28,0,74.34,0.19
50029,2024-12-10,EU-EMEA-Remote,T0496,81433,Drier Replace,243.33,88.66,33.46,365.45,403.37,0.094,365.45,0,0.0,0.0
50030,2024-02-18,DE-Hamburg,T0166,82010,Evaporator Coil Replace,288.23,84.68,8.01,380.92,478.48,0.141,411.01,0,30.09,0.0732
50031,2024-02-28,DE-Munich,T0103,81433,Drier Replace,196.28,92.94,33.17,322.39,406.08,0.137,350.45,0,28.06,0.0801
50032,2024-06-18,DE-Munich,T0412,81120,Compressor Repair/Replace,419.8,106.66,5.0,531.46,572.55,0.057,539.91,0,8.45,0.0157
50033,2024-07-06,NL-Amsterdam,T0123,84015,Leak Diagnosis & Seal,202.39,77.54,19.45,299.38,353.3,0.154,298.89,1,-0.49,-0.0016
50034,2024-09-27,NL-Amsterdam,T0167,83020,Thermostat Replace,234.68,96.59,31.67,362.94,423.09,0.009,419.28,0,56.34,0.1344
50035,2024-07-08,AT-Vienna,T0132,82010,Evaporator Coil Replace,109.17,65.9,25.08,200.15,234.25,0.134,202.86,0,2.71,0.0134
50036,2024-06-23,NL-Amsterdam,T0254,84015,Leak Diagnosis & Seal,176.28,85.62,10.17,272.07,348.49,0.196,280.19,1,8.12,0.029
50037,2024-02-20,NL-Amsterdam,T0060,85005,Refrigerant Charge,224.39,45.75,23.36,293.5,391.98,0.122,344.16,0,50.66,0.1472
50038,2024-12-29,AT-Vienna,T0054,82010,Evaporator Coil Replace,1111.45,124.83,25.08,1261.36,1701.66,0.127,1485.55,0,224.19,0.1509
50039,2024-02-24,EU-EMEA-Remote,T0261,82010,Evaporator Coil Replace,734.24,64.5,23.64,822.38,1006.98,0.057,949.58,0,127.2,0.134
50040,2024-08-31,NL-Amsterdam,T0391,82010,Evaporator Coil Replace,386.6,94.02,18.74,499.36,633.91,0.075,586.37,0,87.01,0.1484
50041,2024-11-15,DE-Hamburg,T0376,83020,Thermostat Replace,105.02,68.78,28.84,202.64,214.19,0.099,192.99,0,-9.65,-0.05
50042,2024-05-10,DE-Hamburg,T0087,83020,Thermostat Replace,92.18,91.81,31.16,215.15,254.73,0.118,224.67,0,9.52,0.0424
50043,2024-11-02,DE-Munich,T0304,85005,Refrigerant Charge,108.05,76.1,20.77,204.92,239.23,0.214,188.03,0,-16.89,-0.0898
50044,2024-05-14,NL-Amsterdam,T0169,84015,Leak Diagnosis & Seal,37.91,44.92,34.16,116.99,134.31,0.216,105.3,0,-11.69,-0.111
50045,2024-01-21,NL-Amsterdam,T0343,81120,Compressor Repair/Replace,901.48,57.77,20.75,980.0,1162.89,0.149,989.62,1,9.62,0.0097
50046,2024-11-24,DE-Berlin,T0020,82010,Evaporator Coil Replace,333.49,83.22,18.08,434.79,503.86,0.158,424.25,1,-10.54,-0.0248
50047,2024-06-15,DE-Berlin,T0428,83020,Thermostat Replace,59.3,93.69,32.86,185.85,169.2,0.127,147.71,1,-38.14,-0.2582
50048,2024-09-30,DE-Munich,T0347,85005,Refrigerant Charge,183.67,124.49,32.56,340.72,341.91,0.136,295.41,1,-45.31,-0.1534
50049,2024-03-29,DE-Munich,T0296,81120,Compressor Repair/Replace,158.73,73.99,17.04,249.76,279.63,0.123,245.24,0,-4.52,-0.0184
50050,2024-11-11,NL-Amsterdam,T0193,82010,Evaporator Coil Replace,659.02,89.77,15.88,764.67,898.34,0.07,835.46,0,70.79,0.0847
50051,2024-01-14,NL-Amsterdam,T0333,85005,Refrigerant Charge,71.13,44.39,36.12,151.64,199.59,0.063,187.02,0,35.38,0.1892
50052,2024-08-29,AT-Vienna,T0139,85005,Refrigerant Charge,231.52,128.33,21.18,381.03,520.01,0.04,499.21,0,118.18,0.2367
50053,2024-09-21,DE-Berlin,T0001,84015,Leak Diagnosis & Seal,182.22,92.31,22.03,296.56,355.08,0.021,347.62,0,51.06,0.1469
50054,2024-12-11,AT-Vienna,T0333,85005,Refrigerant Charge,166.65,94.41,19.98,281.04,293.81,0.146,250.91,0,-30.13,-0.1201
50055,2024-02-22,DE-Munich,T0054,83020,Thermostat Replace,208.94,72.58,32.57,314.09,383.4,0.046,365.76,0,51.67,0.1413
50056,2024-12-05,DE-Munich,T0384,81433,Drier Replace,112.72,48.46,39.15,200.33,242.07,0.123,212.3,0,11.97,0.0564
50057,2024-04-01,DE-Munich,T0178,82010,Evaporator Coil Replace,616.45,55.78,22.56,694.79,838.08,0.055,791.99,0,97.2,0.1227
50058,2024-09-20,DE-Hamburg,T0108,81433,Drier Replace,29.94,125.71,41.34,196.99,242.84,0.081,223.17,0,26.18,0.1173
50059,2024-02-04,DE-Munich,T0500,81120,Compressor Repair/Replace,777.87,51.48,17.56,846.91,1035.74,0.03,1004.67,0,157.76,0.157
50060,2024-07-24,DE-Berlin,T0072,84015,Leak Diagnosis & Seal,460.2,44.61,19.74,524.55,670.16,0.158,564.27,0,39.72,0.0704
50061,2024-03-21,DE-Berlin,T0189,84015,Leak Diagnosis & Seal,216.47,64.34,27.38,308.19,363.97,0.119,320.66,1,12.47,0.0389
50062,2024-02-19,DE-Munich,T0354,84015,Leak Diagnosis & Seal,516.78,50.45,15.46,582.69,748.28,0.079,689.17,1,106.48,0.1545
50063,2024-12-25,AT-Vienna,T0319,83020,Thermostat Replace,240.53,84.43,27.28,352.24,390.14,0.057,367.9,0,15.66,0.0426
50064,2024-01-02,NL-Amsterdam,T0035,81120,Compressor Repair/Replace,289.82,114.49,17.85,422.16,543.25,0.135,469.91,1,47.75,0.1016
50065,2024-02-23,AT-Vienna,T0280,83020,Thermostat Replace,114.98,61.17,9.65,185.8,221.84,0.185,180.8,0,-5.0,-0.0277
50066,2024-04-15,DE-Hamburg,T0003,82010,Evaporator Coil Replace,159.17,36.44,8.06,203.67,260.26,0.075,240.74,0,37.07,0.154
50067,2024-09-16,DE-Munich,T0168,84015,Leak Diagnosis & Seal,241.37,92.17,19.41,352.95,399.7,0.119,352.14,0,-0.81,-0.0023
50068,2024-11-05,EU-EMEA-Remote,T0010,83020,Thermostat Replace,28.36,65.95,25.34,119.65,143.47,0.078,132.28,0,12.63,0.0955
50069,2024-07-09,DE-Berlin,T0035,81433,Drier Replace,295.12,89.66,11.11,395.89,504.17,0.126,440.64,0,44.75,0.1016
50070,2024-08-05,AT-Vienna,T0178,85005,Refrigerant Charge,232.97,57.02,23.43,313.42,337.18,0.141,289.64,0,-23.78,-0.0821
50071,2024-02-13,AT-Vienna,T0169,83020,Thermostat Replace,20.32,76.72,23.45,120.49,156.3,0.157,131.76,0,11.27,0.0855
50072,2024-06-10,NL-Amsterdam,T0420,82010,Evaporator Coil Replace,874.78,63.85,20.66,959.29,1162.21,0.036,1120.37,0,161.08,0.1438
50073,2024-07-20,DE-Berlin,T0492,85005,Refrigerant Charge,81.35,79.08,14.59,175.02,220.97,0.064,206.83,0,31.81,0.1538
50074,2024-09-26,NL-Amsterdam,T0429,82010,Evaporator Coil Replace,1861.52,58.41,23.92,1943.85,2193.2,0.117,1936.6,1,-7.25,-0.0037
50075,2024-12-16,AT-Vienna,T0042,81433,Drier Replace,206.23,68.47,20.86,295.56,324.46,0.043,310.51,0,14.95,0.0481
50076,2024-10-30,EU-EMEA-Remote,T0270,82010,Evaporator Coil Replace,880.47,29.43,29.85,939.75,1080.35,0.147,921.54,1,-18.21,-0.0198
50077,2024-09-27,DE-Berlin,T0228,84015,Leak Diagnosis & Seal,103.04,62.33,11.66,177.03,220.42,0.119,194.19,1,17.16,0.0884
50078,2024-08-02,EU-EMEA-Remote,T0383,81433,Drier Replace,136.42,104.03,22.91,263.36,308.81,0.111,274.53,0,11.17,0.0407
50079,2024-09-08,DE-Berlin,T0246,84015,Leak Diagnosis & Seal,149.65,107.81,11.83,269.29,354.03,0.109,315.44,0,46.15,0.1463
50080,2024-07-08,DE-Munich,T0024,85005,Refrigerant Charge,32.44,64.74,20.1,117.28,140.59,0.156,118.66,0,1.38,0.0116
50081,2024-10-22,AT-Vienna,T0361,85005,Refrigerant Charge,42.6,110.07,13.24,165.91,197.83,0.113,175.48,0,9.57,0.0545
50082,2024-07-31,DE-Berlin,T0231,85005,Refrigerant Charge,122.54,76.07,14.66,213.27,285.41,0.114,252.87,0,39.6,0.1566
50083,2024-07-26,NL-Amsterdam,T0305,82010,Evaporator Coil Replace,460.62,53.19,21.97,535.78,687.99,0.042,659.09,0,123.31,0.1871
50084,2024-08-24,DE-Hamburg,T0120,85005,Refrigerant Charge,54.38,30.19,17.47,102.04,119.06,0.033,115.13,0,13.09,0.1137
50085,2024-12-03,DE-Berlin,T0265,81120,Compressor Repair/Replace,216.33,107.99,33.73,358.05,431.91,0.182,353.3,0,-4.75,-0.0134
50086,2024-02-22,DE-Munich,T0429,82010,Evaporator Coil Replace,189.63,67.25,31.43,288.31,332.42,0.124,291.2,0,2.89,0.0099
50087,2024-10-06,DE-Berlin,T0199,82010,Evaporator Coil Replace,331.52,50.01,28.44,409.97,481.78,0.149,409.99,0,0.02,0.0
50088,2024-08-04,NL-Amsterdam,T0320,81433,Drier Replace,279.68,20.74,28.28,328.7,413.47,0.181,338.63,1,9.93,0.0293
50089,2024-09-08,NL-Amsterdam,T0426,83020,Thermostat Replace,125.51,66.67,23.04,215.22,288.47,0.053,273.18,0,57.96,0.2122
50090,2024-07-06,DE-Berlin,T0171,85005,Refrigerant Charge,84.2,87.16,32.44,203.8,249.84,0.027,243.09,0,39.29,0.1616
50091,2024-02-10,EU-EMEA-Remote,T0103,81433,Drier Replace,352.76,73.67,19.65,446.08,575.67,0.085,526.74,0,80.66,0.1531
50092,2024-06-05,AT-Vienna,T0245,82010,Evaporator Coil Replace,449.91,54.51,38.95,543.37,628.2,0.101,564.75,0,21.38,0.0379
50093,2024-01-15,EU-EMEA-Remote,T0489,85005,Refrigerant Charge,149.65,78.42,14.46,242.53,288.98,0.072,268.17,0,25.64,0.0956
50094,2024-10-27,AT-Vienna,T0419,85005,Refrigerant Charge,55.02,118.81,12.97,186.8,200.23,0.058,188.62,0,1.82,0.0096
50095,2024-03-05,DE-Hamburg,T0205,83020,Thermostat Replace,218.55,41.14,10.84,270.53,372.75,0.026,363.06,0,92.53,0.2549
50096,2024-12-10,DE-Hamburg,T0232,83020,Thermostat Replace,160.93,52.83,12.23,225.99,292.26,0.197,234.68,1,8.69,0.037
50097,2024-11-22,EU-EMEA-Remote,T0362,81433,Drier Replace,250.4,117.9,8.97,377.27,461.38,0.223,358.49,0,-18.78,-0.0524
50098,2024-01-09,AT-Vienna,T0438,82010,Evaporator Coil Replace,291.83,89.45,23.71,404.99,452.14,0.096,408.73,1,3.74,0.0092
50099,2024-12-09,DE-Munich,T0432,84015,Leak Diagnosis & Seal,168.04,81.39,28.83,278.26,330.76,0.101,297.35,0,19.09,0.0642
50100,2024-05-08,EU-EMEA-Remote,T0474,84015,Leak Diagnosis & Seal,723.61,60.2,22.27,806.08,1044.07,0.329,700.57,1,-105.51,-0.1506
50101,2024-05-15,DE-Berlin,T0178,82010,Evaporator Coil Replace,248.98,96.98,10.92,356.88,417.46,0.174,344.82,1,-12.06,-0.035
50102,2024-03-03,EU-EMEA-Remote,T0183,84015,Leak Diagnosis & Seal,77.59,55.15,18.24,150.98,189.92,0.035,183.27,0,32.29,0.1762
50103,2024-05-18,DE-Berlin,T0389,83020,Thermostat Replace,133.07,47.95,28.73,209.75,219.84,0.112,195.22,0,-14.53,-0.0744
50104,2024-03-21,EU-EMEA-Remote,T0498,84015,Leak Diagnosis & Seal,230.38,53.76,19.26,303.4,315.33,0.086,288.21,0,-15.19,-0.0527
50105,2024-06-11,AT-Vienna,T0337,81120,Compressor Repair/Replace,605.98,105.95,15.61,727.54,851.94,0.082,782.08,0,54.54,0.0697
50106,2024-10-15,DE-Munich,T0384,82010,Evaporator Coil Replace,309.46,94.07,9.89,413.42,539.9,0.059,508.05,0,94.63,0.1863
50107,2024-09-17,DE-Munich,T0301,85005,Refrigerant Charge,212.7,84.85,18.62,316.17,372.12,0.075,344.21,1,28.04,0.0815
50108,2024-08-18,DE-Berlin,T0011,83020,Thermostat Replace,304.92,70.6,16.38,391.9,537.69,0.086,491.45,0,99.55,0.2026
50109,2024-02-10,DE-Munich,T0126,81433,Drier Replace,231.42,88.09,21.31,340.82,399.21,0.227,308.59,0,-32.23,-0.1044
50110,2024-01-28,DE-Berlin,T0406,81433,Drier Replace,74.04,87.85,25.81,187.7,236.25,0.125,206.72,0,19.02,0.092
50111,2024-05-14,AT-Vienna,T0172,84015,Leak Diagnosis & Seal,314.84,64.47,19.74,399.05,461.67,0.079,425.2,1,26.15,0.0615
50112,2024-07-19,DE-Munich,T0044,82010,Evaporator Coil Replace,263.21,61.17,23.48,347.86,412.59,0.107,368.44,0,20.58,0.0559
50113,2024-11-23,NL-Amsterdam,T0049,81120,Compressor Repair/Replace,349.5,40.6,25.78,415.88,443.85,0.061,416.78,0,0.9,0.0022
50114,2024-09-24,DE-Munich,T0439,81120,Compressor Repair/Replace,289.6,42.07,12.16,343.83,447.22,0.047,426.2,0,82.37,0.1933
50115,2024-02-02,DE-Munich,T0367,81433,Drier Replace,57.01,67.45,37.09,161.55,188.03,0.029,182.58,0,21.03,0.1152
50116,2024-02-17,AT-Vienna,T0145,81120,Compressor Repair/Replace,256.77,39.11,16.07,311.95,403.1,0.124,353.12,1,41.17,0.1166
50117,2024-03-02,DE-Berlin,T0363,81433,Drier Replace,70.28,51.77,26.13,148.18,191.22,0.11,170.19,1,22.01,0.1293
50118,2024-08-03,AT-Vienna,T0053,85005,Refrigerant Charge,90.95,113.18,12.91,217.04,304.36,0.086,278.19,0,61.15,0.2198
50119,2024-10-19,EU-EMEA-Remote,T0193,85005,Refrigerant Charge,254.4,82.54,22.88,359.82,467.73,0.054,442.47,0,82.65,0.1868
50120,2024-04-08,NL-Amsterdam,T0480,84015,Leak Diagnosis & Seal,245.51,71.35,23.17,340.03,440.07,0.111,391.22,1,51.19,0.1308
50121,2024-06-20,DE-Munich,T0495,84015,Leak Diagnosis & Seal,349.43,147.6,35.27,532.3,656.92,0.07,610.94,0,78.64,0.1287
50122,2024-12-25,NL-Amsterdam,T0015,81120,Compressor Repair/Replace,325.6,30.28,20.14,376.02,482.96,0.171,400.37,0,24.35,0.0608
50123,2024-08-01,DE-Berlin,T0144,82010,Evaporator Coil Replace,278.21,127.22,32.4,437.83,541.57,0.116,478.75,0,40.92,0.0855
50124,2024-02-04,DE-Berlin,T0246,82010,Evaporator Coil Replace,420.26,73.95,24.32,518.53,634.15,0.043,606.88,0,88.35,0.1456
50125,2024-08-14,DE-Munich,T0252,82010,Evaporator Coil Replace,70.54,121.12,36.82,228.48,286.71,0.107,256.03,1,27.55,0.1076
50126,2024-04-10,EU-EMEA-Remote,T0269,83020,Thermostat Replace,197.22,87.05,7.76,292.03,329.18,0.126,287.7,0,-4.33,-0.0151
50127,2024-05-10,DE-Berlin,T0216,85005,Refrigerant Charge,67.49,25.26,25.86,118.61,155.96,0.076,144.11,1,25.5,0.1769
50128,2024-09-13,NL-Amsterdam,T0035,83020,Thermostat Replace,167.12,69.34,5.0,241.46,240.14,0.102,215.65,0,-25.81,-0.1197
50129,2024-01-05,EU-EMEA-Remote,T0190,83020,Thermostat Replace,89.86,85.39,21.54,196.79,237.81,0.077,219.5,0,22.71,0.1035
50130,2024-08-05,EU-EMEA-Remote,T0009,82010,Evaporator Coil Replace,114.08,20.69,30.17,164.94,196.59,0.032,190.3,0,25.36,0.1333
50131,2024-09-11,NL-Amsterdam,T0462,83020,Thermostat Replace,66.96,126.57,33.56,227.09,276.86,0.053,262.19,1,35.1,0.1339
50132,2024-12-24,DE-Hamburg,T0324,82010,Evaporator Coil Replace,503.17,92.71,27.91,623.79,741.03,0.104,663.96,0,40.17,0.0605
50133,2024-10-09,NL-Amsterdam,T0104,82010,Evaporator Coil Replace,1319.33,94.0,19.68,1433.01,1628.75,0.05,1547.31,0,114.3,0.0739
50134,2024-07-25,DE-Hamburg,T0162,84015,Leak Diagnosis & Seal,220.66,41.09,26.36,288.11,417.76,0.058,393.53,0,105.42,0.2679
50135,2024-01-15,DE-Hamburg,T0177,81120,Compressor Repair/Replace,1015.52,118.1,42.13,1175.75,1420.89,0.028,1381.11,0,205.36,0.1487
50136,2024-12-11,DE-Berlin,T0438,85005,Refrigerant Charge,27.36,104.69,22.6,154.65,198.99,0.045,190.04,0,35.39,0.1862
50137,2024-02-11,AT-Vienna,T0258,82010,Evaporator Coil Replace,286.27,91.1,29.69,407.06,464.55,0.104,416.24,1,9.18,0.0221
50138,2024-06-27,DE-Berlin,T0053,83020,Thermostat Replace,110.4,66.99,18.57,195.96,232.47,0.053,220.15,0,24.19,0.1099
50139,2024-03-03,EU-EMEA-Remote,T0152,81120,Compressor Repair/Replace,434.84,58.98,30.56,524.38,617.22,0.093,559.82,1,35.44,0.0633
50140,2024-12-17,AT-Vienna,T0189,82010,Evaporator Coil Replace,207.59,62.36,29.25,299.2,328.5,0.038,316.02,0,16.82,0.0532
50141,2024-08-18,DE-Berlin,T0291,81120,Compressor Repair/Replace,373.96,69.66,17.12,460.74,574.94,0.064,538.14,0,77.4,0.1438
50142,2024-08-28,DE-Hamburg,T0206,81433,Drier Replace,148.79,100.02,28.22,277.03,343.33,0.153,290.8,0,13.77,0.0474
50143,2024-02-21,DE-Hamburg,T0024,84015,Leak Diagnosis & Seal,532.1,68.8,28.6,629.5,746.79,0.055,705.72,0,76.22,0.108
50144,2024-04-05,DE-Berlin,T0449,82010,Evaporator Coil Replace,399.49,91.26,27.92,518.67,684.81,0.061,643.04,0,124.37,0.1934
50145,2024-08-09,AT-Vienna,T0464,85005,Refrigerant Charge,685.3,48.41,21.67,755.38,951.7,0.097,859.39,0,104.01,0.121
50146,2024-08-18,EU-EMEA-Remote,T0193,81120,Compressor Repair/Replace,249.52,76.65,31.83,358.0,429.78,0.092,390.24,1,32.24,0.0826
50147,2024-08-24,DE-Munich,T0156,84015,Leak Diagnosis & Seal,509.06,92.57,14.52,616.15,670.03,0.055,633.18,0,17.03,0.0269
50148,2024-05-22,AT-Vienna,T0132,85005,Refrigerant Charge,361.81,58.78,22.08,442.67,547.81,0.105,490.29,0,47.62,0.0971
50149,2024-06-19,EU-EMEA-Remote,T0494,84015,Leak Diagnosis & Seal,12.28,93.45,22.89,128.62,146.98,0.065,137.43,0,8.81,0.0641
50150,2024-01-29,EU-EMEA-Remote,T0152,81120,Compressor Repair/Replace,488.73,79.59,31.37,599.69,638.08,0.115,564.7,0,-34.99,-0.062
50151,2024-02-05,NL-Amsterdam,T0271,85005,Refrigerant Charge,113.16,69.86,14.27,197.29,222.5,0.051,211.15,0,13.86,0.0656
50152,2024-01-13,NL-Amsterdam,T0280,84015,Leak Diagnosis & Seal,86.69,106.54,23.93,217.16,262.55,0.04,252.05,0,34.89,0.1384
50153,2024-06-08,DE-Hamburg,T0308,83020,Thermostat Replace,269.18,78.79,18.06,366.03,427.8,0.022,418.39,0,52.36,0.1251
50154,2024-11-22,DE-Berlin,T0449,83020,Thermostat Replace,72.63,105.02,22.88,200.53,225.62,0.059,212.31,0,11.78,0.0555
50155,2024-07-05,NL-Amsterdam,T0059,83020,Thermostat Replace,21.95,122.71,25.14,169.8,201.01,0.045,191.96,0,22.16,0.1154
50156,2024-08-30,DE-Berlin,T0487,82010,Evaporator Coil Replace,406.66,77.24,11.77,495.67,572.28,0.135,495.02,1,-0.65,-0.0013
50157,2024-03-26,NL-Amsterdam,T0287,81433,Drier Replace,444.55,116.64,32.11,593.3,704.66,0.067,657.45,0,64.15,0.0976
50158,2024-10-10,AT-Vienna,T0327,85005,Refrigerant Charge,51.2,52.92,25.42,129.54,152.95,0.113,135.67,0,6.13,0.0452
50159,2024-03-06,DE-Munich,T0139,84015,Leak Diagnosis & Seal,427.14,55.08,15.13,497.35,636.14,0.115,562.98,1,65.63,0.1166
50160,2024-06-18,NL-Amsterdam,T0389,82010,Evaporator Coil Replace,47.25,89.75,19.27,156.27,171.94,0.208,136.18,1,-20.09,-0.1475
50161,2024-02-14,DE-Berlin,T0158,81433,Drier Replace,465.83,45.85,33.95,545.63,680.05,0.181,556.96,1,11.33,0.0203
50162,2024-03-02,DE-Berlin,T0048,81433,Drier Replace,234.73,66.0,25.33,326.06,391.24,0.111,347.81,0,21.75,0.0625
50163,2024-05-13,NL-Amsterdam,T0364,81433,Drier Replace,59.4,91.94,14.28,165.62,194.86,0.034,188.23,0,22.61,0.1201
50164,2024-10-10,DE-Hamburg,T0440,84015,Leak Diagnosis & Seal,400.54,69.62,15.73,485.89,639.13,0.18,524.09,0,38.2,0.0729
50165,2024-01-28,DE-Munich,T0170,82010,Evaporator Coil Replace,228.37,103.89,27.0,359.26,422.7,0.136,365.21,0,5.95,0.0163
50166,2024-04-17,DE-Berlin,T0101,83020,Thermostat Replace,53.11,84.46,27.96,165.53,224.77,0.08,206.79,0,41.26,0.1995
50167,2024-02-13,DE-Munich,T0395,84015,Leak Diagnosis & Seal,149.48,135.83,24.9,310.21,381.99,0.144,326.98,0,16.77,0.0513
50168,2024-12-05,EU-EMEA-Remote,T0290,83020,Thermostat Replace,186.39,90.22,19.67,296.28,313.68,0.143,268.82,0,-27.46,-0.1022
50169,2024-10-12,EU-EMEA-Remote,T0176,84015,Leak Diagnosis & Seal,100.18,92.16,28.48,220.82,276.24,0.1,248.62,1,27.8,0.1118
50170,2024-11-26,NL-Amsterdam,T0416,81120,Compressor Repair/Replace,23.17,76.2,19.5,118.87,139.69,0.051,132.57,0,13.7,0.1033
50171,2024-05-07,DE-Berlin,T0023,81433,Drier Replace,117.0,92.72,15.16,224.88,274.42,0.148,233.81,1,8.93,0.0382
50172,2024-12-13,DE-Munich,T0298,83020,Thermostat Replace,276.65,116.61,34.69,427.95,578.56,0.09,526.49,1,98.54,0.1872
50173,2024-08-18,DE-Munich,T0317,82010,Evaporator Coil Replace,822.49,93.92,25.91,942.32,1164.57,0.048,1108.67,0,166.35,0.15
50174,2024-07-08,DE-Berlin,T0002,85005,Refrigerant Charge,87.1,82.18,15.72,185.0,240.45,0.126,210.15,0,25.15,0.1197
50175,2024-08-12,DE-Berlin,T0173,83020,Thermostat Replace,72.43,71.81,23.07,167.31,192.47,0.043,184.19,0,16.88,0.0916
50176,2024-10-09,NL-Amsterdam,T0434,85005,Refrigerant Charge,80.14,90.58,22.22,192.94,238.41,0.07,221.72,0,28.78,0.1298
50177,2024-04-30,DE-Hamburg,T0393,82010,Evaporator Coil Replace,198.38,65.2,19.2,282.78,322.44,0.007,320.18,0,37.4,0.1168
50178,2024-04-25,AT-Vienna,T0164,81433,Drier Replace,105.14,64.01,23.87,193.02,190.06,0.1,171.05,0,-21.97,-0.1284
50179,2024-08-20,DE-Berlin,T0146,85005,Refrigerant Charge,163.83,123.91,14.57,302.31,355.12,0.314,243.61,0,-58.7,-0.241
50180,2024-09-15,DE-Munich,T0241,84015,Leak Diagnosis & Seal,562.33,155.66,28.99,746.98,857.98,0.344,562.83,1,-184.15,-0.3272
50181,2024-12-24,DE-Munich,T0204,85005,Refrigerant Charge,58.34,57.99,21.95,138.28,171.11,0.119,150.75,1,12.47,0.0827
